CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
31,BAHIA DE BIZKAIA ELECTRICIDAD, SL,ATRAQUE PUNTA LUCERO EXPLANADA DE PUNTA CEBALLOS, S/N,,ZIERBANA,BIZKAIA,SPAIN,48508,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
32,BANGKOK COGENERATION CO LTD,16 I-4 ROAD MAP TA PHUT INDUSTRIAL ESTATE,MAP TA PHUT,MUANG,RAYONG,THAILAND,,ETL_CM_20130209232725,4/16/2012,ADMIN,4/16/2012
33,BAOSHAN GROUP SHANGHAI PUDONG IRON & STEEL CO, LTD,NO. 1, NORTH WEN CHUAN RD,,SHANGHAI,BAOSHAN,CHINA,200949,TALEND_2015_06_17_02_16_19,4/16/2012,ADMIN,4/16/2012
34,BARNEY M DAVIS, LP,4301 WALDRON RD,,CORPUS CHRISTI,TX,UNITED STATES,784184104,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
35,BASF CORPORATION,602 COPPER RD,,FREEPORT,TX,UNITED STATES,77541-3001,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
36,BAYMINA ENERJI AS,ANKARA DOGALGAZ SANTRALI,ANKARA - ESKISEHIR YOLU 40 KM.,ANKARA,,TURKEY,6900,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
37,BEIJING TAIYANGGONG GAS-FIRED THERMAL POWER CO,LTD,NO. 98, TAIYANGGONG BEICUN,,BEIJING,CHAOYANG,CHINA,100102,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
38,BHARAT HEAVY ELECTRICALS LIMITED,PRAGARTI-III,PPCL, SECTOR -5 INDUSTRIAL AREA BAWANA,,NEW DELHI,DELHI,INDIA,110039,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
39,BIS ENERJI ELEKTRIK URETIM A S,ORGANIZE SANAYI BOLGESI, 1 GRI CADDE,3. SOKAK,BURSA,,TURKEY,16159,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
40,BIZKAIA ENERGIA SL,INSULA A-I.1 POLIGONO INDUSTRIAL DE BOROA,,AMOREBIETA,PAIS VASCO,SPAIN,48340,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
